model,term,coef,tstat,pvalue,r2,nobs
std_basis_t~L_t_equal,const,0.19665581846364727,13.110310305931474,8.119285789416253e-29,0.16279966851084215,204.0
std_basis_t~L_t_equal,L_t_equal,0.178068048618449,6.267404816736814,2.1793734110654005e-09,0.16279966851084215,204.0
std_basis_proxy_t~L_t_proxy_spread_only,const,-0.0573647346999067,-3.1535323259178414,0.0018102409863429059,0.8593208248754955,252.0
std_basis_proxy_t~L_t_proxy_spread_only,L_t_proxy_spread_only,0.891980046096797,39.07803936915067,1.8361284368418278e-108,0.8593208248754955,252.0
avg_spread_t~L_t_equal+std_basis_t,const,0.4403324983832547,12.446659756772297,9.728838348426191e-27,0.42584015950895127,204.0
avg_spread_t~L_t_equal+std_basis_t,L_t_equal,0.17643007438429692,3.2775214142931866,0.0012337905125877503,0.42584015950895127,204.0
avg_spread_t~L_t_equal+std_basis_t,std_basis_t,1.1513447620308148,9.439251367763585,9.697834124871365e-18,0.42584015950895127,204.0
avg_spread_t~L_t_proxy_spread_only+std_basis_proxy_t,const,2.8622937353617317e-16,5.760842299790561,2.460105099960296e-08,1.0,252.0
avg_spread_t~L_t_proxy_spread_only+std_basis_proxy_t,L_t_proxy_spread_only,0.9999999999999996,6134547829774617.0,0.0,1.0,252.0
avg_spread_t~L_t_proxy_spread_only+std_basis_proxy_t,std_basis_proxy_t,-4.0245584642661925e-16,-2.3756270869349594,0.018276770723799247,1.0,252.0
crisis_dummy~L_t_equal+std_basis_t,const,-0.009595804514546192,-0.24011200477338074,0.8104881305176931,0.29224662039507243,204.0
crisis_dummy~L_t_equal+std_basis_t,L_t_equal,-0.3621191861462666,-5.955042424582104,1.144202775393434e-08,0.29224662039507243,204.0
crisis_dummy~L_t_equal+std_basis_t,std_basis_t,1.200285008016769,8.711179186412643,1.110573324958801e-15,0.29224662039507243,204.0
crisis_dummy~L_t_proxy_spread_only+std_basis_proxy_t,const,-0.17497066472744344,-5.103954050557759,6.606855566424572e-07,0.34221688382659987,252.0
crisis_dummy~L_t_proxy_spread_only+std_basis_proxy_t,L_t_proxy_spread_only,0.40433116843267036,3.5949222758257617,0.0003911304677125295,0.34221688382659987,252.0
crisis_dummy~L_t_proxy_spread_only+std_basis_proxy_t,std_basis_proxy_t,0.08392200121184153,0.7179688243116541,0.4734495849195678,0.34221688382659987,252.0
